total	tal
fraction	cell fraction
injection	injection of substance in to other organism
layer	chromatography, thin layer
traction	traction
brite	carbamide peroxide supplementary concept
maverick	maverick protein, drosophila supplementary concept
fentanyl	fentanyl
adjustments	social adjustment
main	pancreatic ducts
bpm	bpm
surgeon	barber surgeons
nitroglycerin	nitroglycerin
nuclear	alignment of 3' and 5' splice sites of nuclear mrna
color	color
female	development of primary female sexual characteristics
ap	ap
am	adm
cytology	cell biology
stent	stents
approach	reversal learning
manner	cotl1 protein, mouse supplementary concept
assessment	outcome assessment health care
fainting	syncope
mucosa	antigen sampling by dendritic cells in mucosal-associated lymphoid tissue
sutures	sutures
glenoid	glenoid cavity
appearance	macroepiphyseal dysplasia, mcalister coe type supplementary concept
cul	1,2-dehydroreticulinium reductase nadph activity
p2	bacteriophage p2
resected	cardiomyoplasty
score	apgar score
rectum	rectum
circumflex	internal mammary-coronary artery anastomosis
visualization	radiography, thoracic
stroke	stroke
abuse	substance-related disorders
phenergan	promethazine
portals	entry into host through natural portals
tolerance	acquisition of desiccation tolerance
activities	activities of daily living
dysmenorrhea	dysmenorrhea
cauterization	cautery
border	border disease
capsulorhexis	capsulorhexis
thinners	benzene
og	+-borneol dehydrogenase activity
final	gene products, gag
aspirin	aspirin
heart	activin receptor signaling pathway involved in heart jogging
papilla	dental papilla
bag	bag
nebulizer	nebulizers and vaporizers
questions	examination questions publication type
eluting	drug-eluting stents
distribution	actin cortical patch distribution
third	third ventricle development
shoulders	shoulder
gas	3r-3-isopropenyl-6-oxoheptanoate:coa ligase adp-forming activity
bronchus	bronchus cartilage development
foley	neuromuscular diseases
operating	operating tables
incision	nucleotide-excision repair, dna incision
scissors	gait disorders, neurologic
hypertension	hypertension
needle	needles
counts	colony count, microbial
po	po
creation	research embryo creation
kenalog	triamcinolone acetonide
home	acylglycerol homeostasis
sphincterotomy	sphincterotomy, transhepatic
oxygen	oxygen
segments	somatic recombination of immunoglobulin gene segments
orthopedics	orthopedics
septum	adventitious septum
lesion	error-free translesion synthesis
lv	ping-lv-mixture supplementary concept
taxus	taxus
space	space simulation
fiber	fiber
ligaments	ligaments
wound	wounds and injuries
uterus	uterus
awaiting	organ preservation solutions
abciximab	abciximab supplementary concept
sinusitis	sinusitis
bronchoscopy	bronchoscopy
initiation	bacterial-type rna polymerase preinitiation complex assembly
ventriculogram	cerebral ventriculography
subscapularis	rotator cuff
products	tobacco use cessation products
ml	activation of recombination hml
mobility	high mobility group box 1 binding
l4-l5	sciatica
mi	mitf
portion	core tfiih complex portion of holo tfiih complex
water	alpha-glucan, water dikinase activity
usual	idiopathic pulmonary fibrosis
medication	pharmaceutical preparations
mm	z-gamma-bisabolene synthase activity
oropharyngeal	oropharynx
criteria	standards subheading
clopidogrel	clopidogrel supplementary concept
seizure	seizures
cords	vocal cords
bronchoscope	bronchoscopes
extension	cell surface extensions
product	product surveillance, postmarketing
cardiolite	technetium tc 99m sestamibi
valve	aortic valve development
tobacco	tobacco
depressions	depression
stab	stab
method	methods
endoscopes	endoscopes
mustache	barbering
nose	ajugose biosynthetic process using galactinol:raffinose galactosyltransferase
sphincterotome	sphincterotomy, endoscopic
carcinoma	carcinoma
myocardium	epicardium-derived cell migration to the myocardium
count	colony count, microbial
capsule	capsule
l4	cdc48p-npl4p-ufd1p aaa atpase complex
jr	nsc 629243 supplementary concept
defect	aortopulmonary septal defect
l3	lhx8
difficulty	mobility limitation
study	biomedical research
ethmoid	ethmoid bone
endotracheal	airway extubation
anesthesia	anesthesia
remainder	ketogenic diet
level	no-observed-adverse-effect level
results	reproducibility of results
surveillance	cytoplasmic rna surveillance
family	family
age	age
sessile	choanoflagellata
value	relative value scales
fusion	viral fusion proteins
suture	coronal suture morphogenesis
bladder	gall bladder development
eye	eye
joint	antennal joint development
appendiceal	appendiceal neoplasms
restriction	restriction mapping
bed	barbed-end actin capping activity
damage	age dependent accumulation of genetic damage
tablets	tablets
balloon	angioplasty, balloon, laser-assisted
urethra	female urethra development
resection	transurethral resection of prostate
afb	3-arginylamino-4-4-nitrophenylbutyryl-leucyl-prolyl-threonine supplementary concept
scarring	cicatrix
bisulphate	sinapine supplementary concept
perforation	nasal septal perforation
liver	15,16-dihydrobiliverdin:ferredoxin oxidoreductase activity
aspiration	pneumonia, aspiration
release	alpha-glucan catabolic process involved in ascospore release from ascus
hr	hr
murmurs	heart murmurs
scope	neuroendoscopes
loss	spectroscopy, electron energy-loss
chest	thorax
disease	disease
stage	distinct antral spaces stage
risk	risk
atrium	cardiac atrium development
anterior	anterior compartment syndrome
rate	+-pulegone reductase, +-isomenthone as substrate, activity
arrest	heart arrest
inability	neuroaxonal dystrophy renal tubular acidosis supplementary concept
larynx	larynx
promethazine	promethazine
drug	cellular response to drug
regurgitation	mitral valve insufficiency
haller	pentalogy of cantrell
cannulation	catheterization
bruce	birc6
ii	10-deacetylbaccatin iii 10-o-acetyltransferase activity
sport	2-aminoethylphosphonate transmembrane transporter activity
daily	activities of daily living
knot	cystine knot motifs
section	cesarean section
rim	rbbp8
duration	vecuronium bromide
posterior	afferent axon development in posterior lateral line nerve
plan	health plan implementation
wife	spouses
identification	identification psychology
labrum	candelabrum cell differentiation
aorta	aorta development
technique	dental high-speed technique
cm2	cm2
clinic	ambulatory care facilities
treatment	therapeutics
flow	apoptosis involved in outflow tract morphogenesis
tylenol	acetaminophen
temperature	temperature
eyes	eye
ptosis	activation-induced b cell apoptosis
nature	nature
l4-5	uchl4 protein, mouse supplementary concept
endometriosis	endometriosis
movements	movement
year	year
points	trigger points
place	branching involved in embryonic placenta morphogenesis
biopsied	biopsy
inflammation	inflammation
fixation	carbon fixation
pelvis	pelvis
contents	gastrointestinal contents
phacoemulsification	phacoemulsification
cell	abaxial cell fate specification
induction	induction chemotherapy
cholecystectomy	cholecystectomy
pharynx	pharynx
blood	blood
mg\/dl	alpha-methylornithine supplementary concept
vessels	blood vessels
tricuspid	tricuspid valve development
structures	viral structures
prep	prep
midazolam	midazolam
system	two-hybrid system techniques
nick	nick
diverticulosis	diverticulum
coronary	angiogenesis involved in coronary vascular morphogenesis
strips	reagent strips
blade	blade implantation
ischemia	ischemia
cataract	cataract
erbe	s-tetrahydroprotoberberine n-methyltransferase activity
recommendations	health planning guidelines
complex	aids dementia complex
abnormality	torsion abnormality
orbicularis	blinking
co2	c2
tissue	adipose tissue development
beta	--e-beta-caryophyllene synthase activity
personal	health records, personal
leads	tmem138 protein, human supplementary concept
ercp	cholangiopancreatography, endoscopic retrograde
grade	amphid sensory organ dendrite retrograde extension
airway	airway remodeling
syringe	syringes
infundibulum	pituitary gland, posterior
mg\/ml	k-m media supplementary concept
mets	etv3
procedure	methods
site	3'-splice site cleavage, exon ligation
k92	capsular polysaccharide k92 supplementary concept
levator	levator syndrome supplementary concept
sedatives	hypnotics and sedatives
cholangitis	cholangitis
anesthetic	response to anesthetic
elevation	elevation of cytosolic calcium ion concentration
calcification	shell calcification
tumor	cellular response to tumor cell
factor	activating transcription factor binding
material	pericentriolar material
medium	adp-dependent medium-chain-acyl-coa hydrolase activity
weeks	fetal mortality
anchors	suture anchors
lung	bud dilation involved in lung branching
seconds	forced expiratory volume
documentation	documentation
chart	growth charts
dorsal	dorsal
down	energy coupled proton transport, down electrochemical gradient
part	3-aminopropyll-aspartyl-1-aminophosphoryl-5'-adenosine biosynthetic process from asparagine
supraspinatus	shoulder impingement syndrome
week	trisynex supplementary concept
orifice	natural orifice endoscopic surgery
lateral	actin lateral binding
detail	eidetic imagery
ovary	ovary
eyelid	eyelid development in camera-type eye
nerves	laryngeal nerves
spells	adams-stokes syndrome
sinuses	paranasal sinuses
inspection	food inspection
urine	rs-norcoclaurine 6-o-methyltransferase activity
exploration	exploration behavior
amount	optically stimulated luminescence dosimetry
smears	vaginal smears
allen	allene oxide synthase activity
removal	base-excision repair, base-free sugar-phosphate removal
angiography	angiography
prostatic	prostate
care	care
oculi	fundus oculi
gender	gender identity
fossa	cranial fossa, middle
markings	denture identification marking
burr	larval burrowing behavior
reports	research report
motrin	ibuprofen
condition	conditioned taste aversion
cocaine	cocaine
mouth	delamination involved in gastrulation with mouth forming second
cavity	dental caries
surfaces	freeze etching
extraction	vacuum extraction, obstetrical
fundus	stomach fundus smooth muscle contraction
graft	transplants
retroflexion	uterine retroversion
size	size
auscultation	auscultation
sound	sound
nodule	sister mary joseph's nodule
cholecystitis	cholecystitis
lifting	lifting
spur	heel spur
rx	rax
endocarditis	endocarditis
hypertrophy	hypertrophy
result	double effect principle
cipro	activation of reciprocal meiotic recombination
anus	anal canal
tube	adhesion of symbiont germination tube to host
blockers	acid sensing ion channel blockers
oxymetazoline	oxymetazoline
stability	crd-mediated mrna stability complex
breathing	respiration
supine	supine position
repeat	terminal repeat sequences
cannula	catheters
instrumentation	instrumentation subheading
swimming	swimming
dose	dose fractionation
pericardium	negative regulation of planar cell polarity pathway involved in pericardium morphogenesis
accessory	accessory nerve development
performance	performance-enhancing substances
electrocautery	electrocoagulation
turbinate	turbinates
attention	attention
s3	s3
s4	s4
profile	sickness impact profile
clip	apc-iqgap1-clip-170 complex
sestamibi	technetium tc 99m sestamibi
protocol	chop protocol supplementary concept
consent	consent forms
cefazolin	cefazolin
hematochezia	gastrointestinal hemorrhage
forceps	surgical instruments
general	age-dependent general metabolic decline
recovery	drought recovery
immediate	immediate early viral mrna transcription
ointment	ointments
csf	lamc2
complications	complications subheading
fragments	immunoglobulin fab fragments
views	narrative therapy
tract	actin filament bundle assembly involved in actomyosin contractile ring formation
ostium	heart septal defects, atrial
duodenum	duodenum
plavix	clopidogrel supplementary concept
rrr	apigenin 7-o-alpha-l-rhamnopyranosyl-1-4-o-alpha-l-rhamnopyranoside-4'-o-alpha-l-rhamnopyranoside supplementary concept
curve	area under curve
ekg	electrocardiography
surface	apposition of dorsal and ventral imaginal disc-derived wing surfaces
sac	4-oxalmesaconate hydratase activity
sterile	infertility
risks	risk
test	test
hemorrhoids	hemorrhoids
physician	physicians
npo	nonpolar-amino acid-transporting atpase activity
tip	acetyl-coa:coa antiporter activity
crease	age dependent decreased translational activity
dermatome	somites
anatomy	anatomy
tree	trec
comparisons	marriage
secretions	bodily secretions
liters	maximal expiratory flow-volume curves
margin	dental scaling
compression	extracellular matrix structural constituent conferring compression resistance
laparoscope	laparoscopes
tissues	tissues
ibuprofen	ibuprofen
c67	c67
hours	after-hours care
random	random coil binding
laparoscopy	laparoscopy
table	irritable aggressive behavior
packs	mud therapy
alka-seltzer	sodium acetylsalicylate, sodium bicarbonate, sodium citrate drug combination supplementary concept
gallstones	gallstones
ward	romano-ward syndrome
ase	ase
syndrome	general adaptation syndrome
closure	anterior neuropore closure
years	quality-adjusted life years
shield	spemann organizer formation at the embryonic shield
culture	culture
prolene	polypropylenes
r93	r93
port	port
reaction	cycloaddition reaction
placement	connective tissue replacement involved in inflammatory response wound healing
position	anterior lateral line neuromast deposition
cells	cells
pus	suppuration
examination	physical examination
infraspinatus	rotator cuff
line	rs-1-benzyl-1,2,3,4-tetrahydroisoquinoline n-methyltransferase activity
pain	behavioral response to acetic acid induced pain
tendon	intratendonous ossification
retrieval	sperm retrieval
boston	boston
pockets	periodontal pocket
capacity	total lung capacity
artery	artery development
options	vulnerable populations
impingement	shoulder impingement syndrome
post	epilepsy, post-traumatic
rotator	rotator cuff
h26	h26
angina	angina pectoris
male	male
return	return to work
isovue-m200	iopamidol
intubation	intubation
ancef	cefazolin
acs\/guidant	american cancer society
access	vascular access devices
fascia	fascia adherens
gun	gun
dizziness	dizziness
process	process assessment health care
symptoms	diagnosis
leg	+-pulegone reductase, +-isomenthone as substrate, activity
point	pnt
bleeding	hemorrhage
degree	uterine prolapse
steroid	11-beta-hydroxysteroid dehydrogenase nad+ activity
bacitracin	bacitracin
acetaminophen	acetaminophen
injury	collateral sprouting in absence of injury
decompression	decompression
stones	urinary bladder calculi
superiorly	thymus gland
nucleus	abducens nucleus development
gradient	energy coupled proton transport, against electrochemical gradient
ampicillin	ampicillin
diet	diet
tobramycin	tobramycin
stenosis	constriction, pathologic
spondylosis	spondylosis
pack	dna packaging
peritoneum	peritoneum
skin	regulation of water loss via skin
anchor	a kinase anchor proteins
function	modification by host of symbiont molecular function
contrast	microscopy, phase-contrast
ducts	wolffian ducts
compromise	head injuries, penetrating
nurse	nurses
pancreatitis	pancreatitis
thickness	carotid intima-media thickness
repair	base-excision repair
short-tip	otofacioosseous-gonadal syndrome supplementary concept
head	head
teres	ptk1 protein, pyrenophora teres supplementary concept
ciprofloxacin	ciprofloxacin
lamella	descemet stripping endothelial keratoplasty
antibiotics	anti-bacterial agents
wounds	wounds and injuries
biopsy	biopsy
wire	bone wires
status	status epilepticus
portal	entry into host through natural portals
class	1-phosphatidylinositol-4-phosphate 3-kinase, class ia complex
monofilament	polyglytone 6211 supplementary concept
h02	health occupations
bifurcation	klatskin's tumor
acromion	acromion
sinus	coronary sinus valve development
turbinates	turbinates
cuff	cuff
kefzol	cefazolin
marker	biological markers
food	food
manufacturer	dermacol supplementary concept
caliber	break-free clp supplementary concept
images	imaging, three-dimensional
symmetry	bmp signaling pathway involved in determination of lateral mesoderm left/right asymmetry
suite	physicians' offices
rest	anterior/posterior lineage restriction, imaginal disc
administration	organization and administration
epinephrine	cellular response to epinephrine stimulus
obstruction	nasal obstruction
puncture	punctures
bolus	guanxin suhe wan supplementary concept
medications	pharmaceutical preparations
dysfunction	physiopathology subheading
foramen	foramen ovale closure
direction	anisotropy
pathology	pathology
lobe	epilepsy, frontal lobe
resectoscope	transurethral resection of prostate
creatinine	creatinine
clips	surgical instruments
descending	descending aorta development
solution	resolution of meiotic recombination intermediates
evaluation	evaluation studies as topic
upper	upper extremity deep vein thrombosis
esophagus	esophagus smooth muscle contraction
polyp	polyps
pneumoperitoneum	pneumoperitoneum
adhesions	tissue adhesions
bone	bone and bones
pads	pads
rhythm	circadian rhythm
trocar	surgical instruments
wheal	urticaria
fatty	r-2-hydroxy-fatty acid dehydrogenase activity
cholelithiasis	cholelithiasis
nostril	crotalus
film	biofilm formation
diverticula	diverticulum
minutes	anistreplase
inch	rubberloid supplementary concept
pressure	angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure
duct	+-pulegone reductase, +-isomenthone as substrate, activity
vision	asymmetric cell division
ligament	ligaments
bupivacaine	bupivacaine
origin	cellular response to molecule of bacterial origin
hyperlipidemia	hyperlipidemias
addition	membrane addition at site of cytokinesis
fold	fold
colonoscopy	colonoscopy
morphology	colony morphology
visipaque	iodixanol supplementary concept
lid	lid
colonoscope	colonoscopes
side-to-side	eye movement desensitization reprocessing
hemostasis	envenomation resulting in impairment of hemostasis in other organism
cordis	ectopia cordis
shoulder	shoulder
entry	cell wall strengthening in symbiont involved in entry into host
applied	psychology, applied
alternatives	animal use alternatives
trocars	surgical instruments
gauge	biopsy, large-core needle
benefits	salaries and fringe benefits
